clave_entidad,clave_actividad_economica,anio_censal,UE,A111A,H001A
4,6113,2014,22,321.114,901
4,6114,2014,16,8.609,112
4,6116,2014,153,63.65,528
4,6211,2014,383,90.19,620
4,6212,2014,270,42.439,456
4,6213,2014,72,15.333,168
4,6215,2014,110,62.953,373
4,6233,2014,4,2.468,29
4,6239,2014,11,7.144,108
4,6241,2014,150,6.241,599
4,6242,2014,3,1.44,22
4,6243,2014,4,4.149,12
4,6244,2014,89,47.049,667
4,7111,2014,28,3.988,129
4,7113,2014,10,13.306,99
4,7131,2014,68,6.545,136
4,7132,2014,99,261.314,602
4,7139,2014,152,85.642,553
4,7211,2014,326,1052.502,3878
4,7223,2014,34,1265.882,2834
4,7224,2014,205,168.26,1175
4,7225,2014,3824,2076.412,12736
4,8111,2014,1336,291.143,3213
4,8112,2014,156,76.438,442
4,8113,2014,114,1935.524,2998
4,8114,2014,712,92.313,1089
4,8121,2014,1017,95.978,1372
4,8122,2014,242,49.065,499
4,8123,2014,18,10.29,56
4,8124,2014,59,6.928,110
4,8129,2014,49,12.799,102
4,8131,2014,171,247.205,1137
4,8132,2014,62,16.389,328
5,1151,2014,16,150.632,219
5,2361,2014,106,1883.275,4069
5,2362,2014,125,2834.075,4441
5,2371,2014,30,371.839,925
5,2372,2014,34,541.885,1127
5,2373,2014,25,2622.109,2859
5,2379,2014,4,76.793,274
5,2381,2014,24,360.348,537
5,2382,2014,124,258.958,1070
5,2383,2014,44,90.234,368
5,2389,2014,17,44.082,153
5,3111,2014,9,1021.689,263
5,3112,2014,12,1752.196,828
5,3113,2014,52,611.415,1168
5,3114,2014,14,427.836,1890
5,3115,2014,194,6324.111,2593
5,3116,2014,60,1290.536,1472
5,3118,2014,2253,1685.307,7380
5,3119,2014,43,9315.008,1445
5,3121,2014,300,16370.831,4773
5,3133,2014,5,1932.354,263
5,3141,2014,14,59.784,442
5,3149,2014,70,99.393,443
5,3151,2014,8,24.879,209
5,3152,2014,308,2676.996,15855
5,3159,2014,6,0.415,8
5,3161,2014,4,914.221,1839
5,3162,2014,13,104.305,609
5,3169,2014,16,13.98,101
5,3222,2014,136,4401.837,2389
5,3231,2014,504,750.467,2714
5,3241,2014,6,1438.851,1154
5,3253,2014,11,1530.102,801
5,3254,2014,14,2447.049,1102
5,3255,2014,8,45.948,84
5,3256,2014,38,731.606,510
5,3259,2014,8,618.989,301
5,3261,2014,96,12285.264,12858
5,3262,2014,14,823.152,925
5,3271,2014,153,2883.434,3995
5,3272,2014,9,4.08,32
5,3273,2014,174,4829.278,1566
5,3274,2014,22,1119.944,572
5,3279,2014,90,794.172,2009
5,3312,2014,15,3875.685,2050
5,3313,2014,6,2410.651,380
5,3315,2014,28,4970.282,3901
5,3321,2014,10,525.916,1070
5,3322,2014,11,1231.8,2130
5,3323,2014,1237,2656.398,7357
5,3324,2014,12,674.456,511
5,3325,2014,3,4.331,39
5,3326,2014,13,2255.104,1143
5,3327,2014,446,1489.037,4868
5,3328,2014,17,6643.645,1711
5,3329,2014,48,1057.445,1575
5,3331,2014,14,8385.624,4407
